32,16
0,0,Wall
1,0,Wall
2,0,Wall
3,0,Wall
4,0,Wall
5,0,Wall
6,0,Wall
7,0,Wall
8,0,Wall
9,0,Wall
10,0,Wall
11,0,Wall
12,0,Wall
13,0,Wall
14,0,Wall
15,0,Wall
16,0,Wall
17,0,Wall
18,0,Wall
19,0,Wall
20,0,Wall
21,0,Wall
22,0,Wall
23,0,Wall
24,0,Wall
25,0,Wall
26,0,Wall
27,0,Wall
28,0,Wall
29,0,Wall
30,0,Wall
31,0,Wall
0,1,Start
3,1,Wall
10,1,Reward
11,1,Wall
16,1,Wall
19,1,Reward
20,1,Wall
31,1,Wall
0,2,Wall
5,2,Wall
7,2,Wall
8,2,Wall
9,2,Wall
11,2,Wall
8,11,EnemyB
14,2,Wall
15,2,Reward
19,2,Wall
20,2,Wall
22,2,Wall
23,2,Wall
24,2,Wall
25,2,Wall
26,2,Wall
27,2,Wall
28,2,Wall
29,2,Wall
31,2,Wall
0,3,Wall
2,3,Wall
4,3,Wall
5,3,Wall
7,3,Wall
8,3,EnemyB
13,3,Wall
14,3,Wall
15,3,Wall
17,3,Wall
22,3,Wall
24,3,Reward
26,3,Wall
27,3,EnemyA
28,3,Reward
29,3,Wall
31,3,Wall
0,4,Wall
2,4,Wall
4,4,Reward
5,4,Wall
9,4,Wall
10,4,Wall
12,4,Wall
13,4,Reward
17,4,Wall
19,4,Reward
20,4,Wall
22,4,Wall
24,4,Wall
26,4,Wall
27,4,Reward
31,4,Wall
0,5,Wall
2,5,Wall
3,5,Wall
14,5,Wall
15,5,Wall
17,5,Wall
19,5,Wall
20,5,Wall
22,5,Wall
26,5,Wall
27,5,Wall
28,5,Wall
29,5,Wall
31,5,Wall
0,6,Wall
2,6,Reward
3,6,Wall
4,6,Wall
5,6,Wall
7,6,Wall
8,6,Wall
9,6,Wall
12,6,Wall
17,6,Wall
20,6,Wall
22,6,Reward
23,6,Wall
24,6,EnemyB
26,6,EnemyA
27,6,Wall
28,6,Reward
29,6,Wall
31,6,Wall
0,7,Wall
2,7,Wall
3,7,Wall
8,7,EnemyA
9,7,Wall
11,7,Reward
12,7,Wall
15,7,Wall
16,7,Wall
17,7,Reward
22,7,Wall
31,7,Wall
0,8,Wall
4,8,Reward
5,8,Wall
6,8,Reward
7,8,Wall
9,8,Wall
11,8,Wall
16,8,Reward
17,8,Wall
18,8,EnemyA
20,8,Wall
22,8,Wall
24,8,Wall
25,8,Wall
26,8,Wall
27,8,Wall
29,8,Wall
30,8,Wall
31,8,Wall
0,9,Wall
2,9,Wall
3,9,Wall
9,9,Wall
11,9,Wall
13,9,Wall
14,9,Wall
15,9,Wall
17,9,Wall
18,9,Wall
20,9,Wall
29,9,Wall
30,9,Reward
31,9,Wall
0,10,Wall
3,10,Reward
4,10,Wall
5,10,Wall
6,10,Wall
7,10,Wall
9,10,Wall
14,10,Reward
20,10,Wall
22,10,Wall
23,10,Wall
25,10,Wall
26,10,Reward
27,10,Wall
31,10,Wall
0,11,Wall
1,11,Wall
11,11,Wall
13,11,Wall
14,11,Wall
15,11,Wall
17,11,Wall
20,11,Wall
24,11,Wall
25,11,EnemyA
26,11,Wall
29,11,Wall
31,11,Wall
0,12,Wall
3,12,Wall
4,12,Wall
5,12,Wall
6,12,Wall
7,12,Wall
9,12,Wall
10,12,Reward
11,12,Wall
16,12,Reward
17,12,Wall
18,12,EnemyB
23,12,Wall
24,12,Bonus
27,12,Wall
29,12,Wall
30,12,Reward
31,12,Wall
0,13,Wall
2,13,Wall
3,13,Wall
8,13,Reward
9,13,Wall
10,13,Wall
11,13,Wall
13,13,Wall
14,13,Wall
15,13,Wall
16,13,Wall
20,13,Wall
22,13,Wall
23,13,Wall
24,13,Wall
25,13,Wall
27,13,Wall
29,13,Wall
30,13,Wall
31,13,Wall
0,14,Wall
2,14,Reward
3,14,Wall
4,14,EnemyA
5,14,Reward
6,14,Wall
7,14,Wall
15,14,Reward
16,14,Wall
17,14,Reward
18,14,Wall
19,14,Reward
20,14,Wall
27,14,Wall
31,14,Wall
0,15,Wall
1,15,Wall
2,15,Wall
3,15,Wall
4,15,Wall
5,15,Wall
6,15,Wall
7,15,Wall
8,15,Wall
9,15,Wall
10,15,Wall
11,15,Wall
12,15,Wall
13,15,Wall
14,15,Wall
15,15,Wall
16,15,Wall
17,15,Wall
18,15,Wall
19,15,Wall
20,15,Wall
21,15,Wall
22,15,Wall
23,15,Wall
24,15,Wall
25,15,Wall
26,15,Wall
27,15,Wall
28,15,Wall
29,15,Wall
30,15,End
31,15,Wall
