10,10
0,0,Wall
1,0,Wall
2,0,Wall
3,0,Wall
4,0,Wall
5,0,Wall
6,0,Wall
7,0,Wall
8,0,Wall
9,0,Wall
0,1,Start
2,1,Wall
6,1,Wall
9,1,Wall
0,2,Wall
2,2,Wall
4,2,Wall
6,2,Wall
7,2,Wall
9,2,Wall
0,3,Wall
2,3,Wall
4,3,Wall
9,3,Wall
0,4,Wall
2,4,Wall
4,4,Wall
5,4,Wall
6,4,Wall
8,4,Wall
9,4,Wall
0,5,Wall
6,5,Wall
9,5,Wall
0,6,Wall
1,6,Wall
2,6,Wall
4,6,Wall
5,6,Wall
6,6,Wall
7,6,Wall
9,6,Wall
0,7,Wall
1,7,Wall
4,7,Wall
9,7,Wall
0,8,Wall
3,8,Wall
6,8,Wall
7,8,Wall
9,8,Wall
0,9,Wall
1,9,Wall
2,9,Wall
3,9,Wall
4,9,End
5,9,Wall
6,9,Wall
7,9,Wall
8,9,Wall
9,9,Wall
