30,15
0,0,Wall
1,0,Wall
2,0,Wall
3,0,Wall
4,0,Wall
5,0,Wall
6,0,Wall
7,0,Wall
8,0,Wall
9,0,Wall
10,0,Wall
11,0,Wall
12,0,Wall
13,0,Wall
14,0,Wall
15,0,Wall
16,0,Wall
17,0,Wall
18,0,Wall
19,0,Wall
20,0,Wall
21,0,Wall
22,0,Wall
23,0,Wall
24,0,Wall
25,0,Wall
26,0,Wall
27,0,Wall
28,0,Wall
29,0,Wall
0,1,Wall
1,1,Start

23,1,Wall
25,1,EnemyB
27,1,Wall
28,1,EnemyB
29,1,Wall
0,2,Wall
8,2,Reward
19,2,Reward
23,2,Wall
27,2,Wall
28,2,Wall
29,2,Wall
0,3,Wall
23,3,Wall
29,3,Wall
0,4,Wall
23,4,Wall
29,4,Wall
0,5,Wall
29,5,Wall
0,6,Wall
16,6,EnemyA
29,6,Wall
0,7,Wall
6,7,Wall
22,7,EnemyA
27,7,Reward
29,7,Wall
0,8,Wall
5,8,Wall
29,8,Wall
0,9,Wall
2,9,End
4,9,Wall
5,9,Wall
6,9,Wall
7,9,Wall
8,9,Wall
9,9,Wall
10,9,Wall
18,9,Bonus
29,9,Wall
0,10,Wall
5,10,Wall
29,10,Wall
0,11,Wall
6,11,Wall
29,11,Wall
0,12,Wall
27,12,Wall
28,12,Wall
29,12,Wall
0,13,Wall
27,13,Wall
28,13,Bonus
29,13,Wall
0,14,Wall
1,14,Wall
2,14,Wall
3,14,Wall
4,14,Wall
5,14,Wall
6,14,Wall
7,14,Wall
8,14,Wall
9,14,Wall
10,14,Wall
11,14,Wall
12,14,Wall
13,14,Wall
14,14,Wall
15,14,Wall
16,14,Wall
17,14,Wall
18,14,Wall
19,14,Wall
20,14,Wall
21,14,Wall
22,14,Wall
23,14,Wall
24,14,Wall
25,14,Wall
26,14,Wall
27,14,Wall
28,14,Wall
29,14,Wall



